"name","url"
"Myriel","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Mgr_Bienvenu_par_Gustave_Brion.jpg/361px-Mgr_Bienvenu_par_Gustave_Brion.jpg"
"Napoleon","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mlle.Baptistine","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.Magloire","https://bwlewis.github.io/rthreejs/lemis.jpg"
"CountessdeLo","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Geborand","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Champtercier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Cravatte","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Count","https://bwlewis.github.io/rthreejs/lemis.jpg"
"OldMan","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Labarre","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Valjean","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis5_i.jpg"
"Marguerite","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.deR","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Isabeau","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Gervais","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Tholomyes","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Listolier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Fameuil","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Blacheville","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Favourite","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Dahlia","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Zephine","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Fantine","https://www.mtholyoke.edu/courses/rschwart/hist255-s01/courtesans/fantine.jpg"
"Mme.Thenardier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Thenardier","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis4_146.jpg"
"Cosette","https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Emile_Bayard_-_Cosette.jpg/385px-Emile_Bayard_-_Cosette.jpg"
"Javert","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Javert.jpg/440px-Javert.jpg"
"Fauchelevent","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Bamatabois","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Perpetue","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Simplice","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis1_202.jpg"
"Scaufflaire","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Woman1","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Judge","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Champmathieu","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis1_258.jpg"
"Brevet","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Chenildieu","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Cochepaille","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Pontmercy","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Boulatruelle","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Eponine","https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Eponine_and_Patron-Minette.jpg/440px-Eponine_and_Patron-Minette.jpg"
"Anzelma","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Woman2","https://bwlewis.github.io/rthreejs/lemis.jpg"
"MotherInnocent","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Gribier","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Jondrette","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_158.jpg"
"Mme.Burgon","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Gavroche","https://upload.wikimedia.org/wikipedia/commons/e/e6/Gavroche_%28Les_Mis%C3%A9rables%29.jpg"
"Gillenormand","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis5_158.jpg"
"Magnon","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mlle.Gillenormand","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.Pontmercy","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mlle.Vaubois","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Lt.Gillenormand","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Marius","http://www.brunswick.k12.me.us/hdwyer/files/2013/02/marius.jpg"
"BaronessT","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mabeuf","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Enjolras","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Friends_of_the_ABC.jpg/425px-Friends_of_the_ABC.jpg"
"Combeferre","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Prouvaire","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Feuilly","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Courfeyrac","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Bahorel","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Bossuet","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Joly","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Grantaire","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_76.jpg"
"MotherPlutarch","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_106.jpg"
"Gueulemer","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_132.jpg"
"Babet","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_132.jpg"
"Claquesous","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_132.jpg"
"Montparnasse","https://www.mtholyoke.edu/courses/rschwart/hist255s13/images/illustrations/Images/HugMis3_132.jpg"
"Toussaint","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Child1","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Child2","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Brujon","https://bwlewis.github.io/rthreejs/lemis.jpg"
"Mme.Hucheloup","https://bwlewis.github.io/rthreejs/lemis.jpg"
